Title,PostedTime,Duration,Address,Rent (CHF/Month),Link,Room Info
FURNISHED ROOM TO SUBLET: 5 MIN WALK FROM ETH/UNI,27.11.2018 05:36,31.12.2018 - 28.02.2019,"Culmannstrasse 26, 8006 Zuerich",600,http://www.woko.ch/en/untermieter-details/2874,http://www.woko.ch/en/liegenschaft-details/381
Furnitured room for one person ,26.11.2018 20:43,29.12.2018 - 31.01.2019,"Meierwiesenstrasse 62, 8064 Zuerich",545,http://www.woko.ch/en/untermieter-details/2873,http://www.woko.ch/en/liegenschaft-details/399
furnished room to sublet until 31th Jan 2019,25.11.2018 16:59,17.12.2018 - 31.01.2019,"Baechlerstrasse 44/46, 8046 Zuerich",518,http://www.woko.ch/en/untermieter-details/2868,http://www.woko.ch/en/liegenschaft-details/359
Well furnished and Cheap WOKO housing,25.11.2018 11:39,22.12.2018 - 15.01.2019,"Meierwiesenstrasse 62, 8064 Zuerich",545,http://www.woko.ch/en/untermieter-details/2867,http://www.woko.ch/en/liegenschaft-details/399
Modern Apartment with Big Bedroom (over 15qm),23.11.2018 19:53,01.12.2018 - 31.01.2019,"Baechlerstrasse 44/46, 8046 Zuerich",558,http://www.woko.ch/en/untermieter-details/2866,http://www.woko.ch/en/liegenschaft-details/359
Spacious fully furnished room,22.11.2018 18:52,21.12.2018 - 15.01.2019,"Buelachstrasse 1-11, 8057 Zuerich",580,http://www.woko.ch/en/untermieter-details/2863,http://www.woko.ch/en/liegenschaft-details/363
FURNISHED ROOM TO SUBLET UNTIL 30th Jan 2019,21.11.2018 19:58,01.12.2018 - 30.01.2019,"Caesar-Ritz-Strasse 1-7, 8046 Zuerich",556,http://www.woko.ch/en/untermieter-details/2861,http://www.woko.ch/en/liegenschaft-details/379
Furnished room | 5min walk distance to ETH/Uni,18.11.2018 22:40,19.11.2018 - 31.01.2019,"Culmannstrasse 26, 8006 Zuerich",520,http://www.woko.ch/en/untermieter-details/2857,http://www.woko.ch/en/liegenschaft-details/381
13m^2 room in Affoltern for 521 CHF/month,18.11.2018 18:26,14.01.2019 - 11.07.2019,"Caesar-Ritz-Strasse 1-7, 8046 Zuerich",521,http://www.woko.ch/en/untermieter-details/2856,http://www.woko.ch/en/liegenschaft-details/379
Furnished room to sublet from now until February,18.11.2018 09:50,19.11.2018 - 28.02.2019,"Uetlibergstrasse 111/111a/111b, 8045 Zuerich",610,http://www.woko.ch/en/untermieter-details/2855,http://www.woko.ch/en/liegenschaft-details/475
Fully furnished Studio Apartment: Dec-Jan,17.11.2018 19:37,08.12.2018 - 20.01.2019,"Uetlibergstrasse 111/111a/111b, 8045 Zuerich",980,http://www.woko.ch/en/untermieter-details/2854,http://www.woko.ch/en/liegenschaft-details/475
FULLY FURNISHED ROOM FOR 1.5 MONTHS,17.11.2018 10:49,20.12.2018 - 31.01.2019,"Bahnhaldenstrasse 9/11, 8052 Zuerich",561,http://www.woko.ch/en/untermieter-details/2853,http://www.woko.ch/en/liegenschaft-details/361
Fully Furnished Room for January/February,16.11.2018 15:19,01.01.2019 - 17.02.2019,"Freilagerstrasse 90/92, 8047 Zuerich",635,http://www.woko.ch/en/untermieter-details/2852,http://www.woko.ch/en/liegenschaft-details/383
Untermieter/in gesucht,16.11.2018 11:32,23.11.2018 - 23.05.2019,"Lerchenrain 7-13, 8046 Zuerich",296,http://www.woko.ch/en/untermieter-details/2851,http://www.woko.ch/en/liegenschaft-details/397
